,Geography,Period,HPI,purch_orig,refi_orig,hsng_affrdblty
246,Alabama,1990Q1,146.3017363,4.506281376,0.7292836,130.4549
247,Alabama,1990Q2,147.2467265,4.256130695,0.7807785,125.8845
248,Alabama,1990Q3,147.6736397,3.982420683,0.8146802,129.15294
249,Alabama,1990Q4,148.1161838,4.411661,0.742529,133.20837
250,Alabama,1991Q1,149.5453089,4.303191,1.310157657,132.53874
251,Alabama,1991Q2,151.5458088,4.346731663,1.87579143,134.37431
252,Alabama,1991Q3,152.0721509,5.192534,1.866284,5
253,Alabama,1991Q4,154.8979544,4.768138409,3.4142313,142.6617
254,Alabama,1992Q1,156.4455772,5.189723492,5.490064621,147.65701
255,Alabama,1992Q2,156.351776,6.71538353,4.157558,148.82468
256,Alabama,1992Q3,159.0693664,5.186285,6.358527,154.8558
257,Alabama,1992Q4,160.630099,6.610922,4.827613354,154.12976
258,Alabama,1993Q1,162.0658364,6.118501,3.408501625,158.54037
259,Alabama,1993Q2,163.4491331,5.34958,7.832549,157.04697
260,Alabama,1993Q3,166.0765636,6.492001534,9.477859,159.98842
261,Alabama,1993Q4,167.8728089,6.542279,7.145607471,162.79732
262,Alabama,1994Q1,169.1788205,6.871789455,3.43931,156.22612
263,Alabama,1994Q2,170.9663337,6.480792522,1.784378767,147.40434
264,Alabama,1994Q3,171.2977298,5.055736,0.7387384,145.40967
265,Alabama,1994Q4,171.9240623,5.228268,0.3652505,145.43591
266,Alabama,1995Q1,173.1157417,5.021827,0.1357518,141.32733
267,Alabama,1995Q2,177.0083352,4.440631,1.291604161,143.25314
268,Alabama,1995Q3,179.8704905,5.492419,3.896955729,142.71187
269,Alabama,1995Q4,180.9261861,5.954894543,3.676067591,140.77596
270,Alabama,1996Q1,183.9349676,5.681005478,1.554482222,144.97913
271,Alabama,1996Q2,184.3517181,6.301109,3.857798338,140.28226
272,Alabama,1996Q3,184.9267691,6.31525,1.923526406,137.6488
273,Alabama,1996Q4,186.7372993,6.967544,2.021643,141.5491
274,Alabama,1997Q1,188.3069245,7.020233,1.033123374,142.34886
275,Alabama,1997Q2,190.2961862,6.410925,2.126645803,138.48033
276,Alabama,1997Q3,193.268803,6.758492,2.830521822,139.99667
277,Alabama,1997Q4,195.4843623,6.787976,2.738374472,147.13254
278,Alabama,1998Q1,198.4179663,7.715915,4.915806293,147.8092
279,Alabama,1998Q2,200.6541433,8.639486,6.427762,147.66994
280,Alabama,1998Q3,202.8426138,9.005248,8.561193,152.81548
281,Alabama,1998Q4,204.9611803,9.362453,9.396428,152.90567
282,Alabama,1999Q1,205.2850905,9.31668,6.334536552,150.12404
283,Alabama,1999Q2,206.5987099,9.631248,5.680755,148.12405
284,Alabama,1999Q3,207.247371,9.37047,3.456747293,142.70175
285,Alabama,1999Q4,208.3665872,8.648526,1.921117,143.23727
286,Alabama,2000Q1,209.1411719,8.42275,2.36725,137.8342
287,Alabama,2000Q2,211.2213074,8.417809,2.65841651,134.9558
288,Alabama,2000Q3,212.9294405,8.316237,2.599203348,134.91132
289,Alabama,2000Q4,215.1166515,8.472758,2.628078222,136.50655
290,Alabama,2001Q1,221.5055461,8.815294,8.518384,144.38036
291,Alabama,2001Q2,222.920622,8.809563,10.25734425,143.82489
292,Alabama,2001Q3,224.4221437,9.089319,7.812351,143.44635
293,Alabama,2001Q4,226.5101921,8.021831512,14.01496,147.01575
294,Alabama,2002Q1,226.98093,8.772851,8.792917,144.03893
295,Alabama,2002Q2,228.6592395,8.791882,6.101604,143.75612
296,Alabama,2002Q3,231.8889904,8.198101,11.92707729,148.4176
297,Alabama,2002Q4,234.1486696,8.622895,17.43512726,150.2267
298,Alabama,2003Q1,236.5522011,9.340261,15.41184,158.05859
299,Alabama,2003Q2,239.2876017,10.43464088,22.23441,160.18587
300,Alabama,2003Q3,240.5922327,12.00389481,22.35422516,159.35643
301,Alabama,2003Q4,241.782591,11.81678391,7.773098469,158.13435
302,Alabama,2004Q1,244.1651968,10.66787624,10.58079147,156.71283
303,Alabama,2004Q2,246.374019,10.98960686,11.26416683,151.93486
304,Alabama,2004Q3,250.3136003,10.21967697,6.94121,149.41972
305,Alabama,2004Q4,254.0299299,10.37772,7.747917,148.41345
306,Alabama,2005Q1,256.9639539,10.97682381,7.47833,146.33194
307,Alabama,2005Q2,263.4325675,11.8319149,7.916145,145.20538
308,Alabama,2005Q3,269.8471314,12.23129,10.69782,142.70338
309,Alabama,2005Q4,274.7722336,12.43499,9.054333,135.87312
310,Alabama,2006Q1,279.2771256,12.57812,7.39413,131.427
311,Alabama,2006Q2,284.4447653,13.01021,7.63536,130.53171
312,Alabama,2006Q3,290.3827574,13.25309,9.476739,130.7858
313,Alabama,2006Q4,295.2789136,13.31082,9.985479,134.03838
314,Alabama,2007Q1,295.7280866,13.98357,9.880123,138.7583
315,Alabama,2007Q2,300.5258132,13.8557,10.28655,138.42218
316,Alabama,2007Q3,303.0352963,12.604,9.742499,134.11797
317,Alabama,2007Q4,304.56488,10.81533,8.944772,138.88805
318,Alabama,2008Q1,304.4484808,9.58269,14.77745,147.90752
319,Alabama,2008Q2,303.9624606,7.675459,11.00236,147.67917
320,Alabama,2008Q3,304.5520997,7.802631,6.526085,145.73145
321,Alabama,2008Q4,304.8717969,9.627757,7.323451,156.96239
322,Alabama,2009Q1,304.3784643,4.873472,13.58179,171.78902
323,Alabama,2009Q2,301.7825294,7.331841,16.78807,173.15619
324,Alabama,2009Q3,298.0991056,8.261139,12.83114,169.03494
325,Alabama,2009Q4,295.482612,7.131613,13.94841,173.29454
326,Alabama,2010Q1,291.3889879,7.799513,10.77523,171.00536
327,Alabama,2010Q2,287.1138177,6.015931,10.16719,173.20839
328,Alabama,2010Q3,290.4126906,4.138281,11.16492,179.46626
329,Alabama,2010Q4,286.4838381,5.33644,11.15456,187.0585
330,Alabama,2011Q1,280.6577983,5.080202,5.533031,186.91475
331,Alabama,2011Q2,276.8992242,5.29243,6.170703,192.43559
332,Alabama,2011Q3,278.3611381,5.71781,8.792832,198.98828
333,Alabama,2011Q4,279.9247389,5.57189,11.998,211.74939
334,Alabama,2012Q1,278.4870701,7.14095,10.5092,213.5177
335,Alabama,2012Q2,277.0399155,5.565975,10.01491,211.77623
336,Alabama,2012Q3,277.7819703,5.68738,13.54228,215.61981
337,Alabama,2012Q4,277.9364464,6.224596,16.24982,217.59604
338,Alabama,2013Q1,276.3153733,6.605861,13.5462,221.20782
339,Alabama,2013Q2,277.1364009,7.671579,13.99845,213.87064
340,Alabama,2013Q3,275.5661433,7.261484,9.440716,193.60254
341,Alabama,2013Q4,273.9475324,6.719079,5.892093,194.41205
342,Alabama,2014Q1,277.5862983,7.157394,5.308656,191.84448
343,Alabama,2014Q2,278.8768088,6.90949,4.586279,191.42831
344,Alabama,2014Q3,280.6766888,7.160288,4.528953,191.50473
345,Alabama,2014Q4,282.869956,7.499812,5.129523,193.02586
346,Alabama,2015Q1,286.2120193,7.585436,6.876335,198.20291
347,Alabama,2015Q2,287.5688589,8.261613,6.613986,200.30934
348,Alabama,2015Q3,289.2727094,9.048188,4.873842,202.44559
349,Alabama,2015Q4,290.9021366,8.768486,6.510079,204.14449
350,Alabama,2016Q1,293.2454495,8.855469,5.002134,195.64426
351,Alabama,2016Q2,296.9739821,10.18207,7.066219,200.87061
352,Alabama,2016Q3,301.1306305,9.454083,10.02108,203.78198
353,Alabama,2016Q4,301.2836964,10.29491,8.974182,200.21642
354,Alabama,2017Q1,303.1928708,10.18721,4.760715,191.29556
355,Alabama,2017Q2,308.3180715,10.34542,4.176931,196.26022
356,Alabama,2017Q3,309.9695265,10.14983,4.939159,193.6413
357,Alabama,2017Q4,312.0799659,9.914142,4.908101,192.44722
358,Alabama,2018Q1,314.9101241,10.15044,4.556052,186.21333
359,Alabama,2018Q2,316.2043657,10.41993,4.259174,183.55847
360,Alabama,2018Q3,,10.65502,3.859671,181.16724
361,Alabama,2018Q4,,10.72898,3.663442,177.33937
362,Alabama,2019Q1,,10.75024,3.179262,175.30278
363,Alabama,2019Q2,,10.67415,2.853265,173.93262
364,Alabama,2019Q3,,10.48285,2.83434,173.70502
365,Alabama,2019Q4,,10.18402,2.912929,174.12622
366,Alabama,2020Q1,,9.58189,2.920619,175.69496
367,Alabama,2020Q2,,9.327304,3.137348,176.01476
368,Alabama,2020Q3,,9.407119,3.332464,175.93358
369,Alaska,1990Q1,98.31979077,1.086775541,0.175880626,162.89403
370,Alaska,1990Q2,110.7015816,1.100604773,0.2019037,139.18738
371,Alaska,1990Q3,119.599596,1.087317348,0.2224315,135.49719
372,Alaska,1990Q4,118.0900855,1.05721426,0.177940279,144.12619
373,Alaska,1991Q1,124.1161335,1.16947031,0.356059134,130.30527
374,Alaska,1991Q2,125.6799835,1.133161664,0.489005357,128.43716
375,Alaska,1991Q3,128.8080519,1.30799818,0.4701165,5
376,Alaska,1991Q4,130.4316799,1.40087831,1.003100634,136.52718
377,Alaska,1992Q1,132.5210228,1.428544,1.511217117,149.72537
378,Alaska,1992Q2,132.6234742,1.991680622,1.233068585,148.82916
379,Alaska,1992Q3,132.667432,1.562303901,1.915427,159.57884
380,Alaska,1992Q4,134.8221714,1.907538652,1.392976522,160.23457
381,Alaska,1993Q1,135.2121632,1.905456185,1.061493754,160.92818
382,Alaska,1993Q2,134.3494849,1.797780514,2.632207394,167.1671
383,Alaska,1993Q3,135.9116924,2.206119776,3.220777273,170.06584
384,Alaska,1993Q4,138.0097886,2.232008696,2.437844276,172.29683
385,Alaska,1994Q1,139.9493765,1.298787355,1.140178919,160.91525
386,Alaska,1994Q2,141.7024903,1.127521634,0.460268229,151.22209
387,Alaska,1994Q3,143.015907,1.012950778,0.1767916,146.42625
388,Alaska,1994Q4,143.2678006,1.033693,0.06490771,146.38438
389,Alaska,1995Q1,145.8175032,1.205878139,0.020477494,5
390,Alaska,1995Q2,147.5002354,1.146150827,0.1092127,146.95854
391,Alaska,1995Q3,149.0416367,1.326061726,0.299992144,149.62498
392,Alaska,1995Q4,149.7162679,1.384588599,0.5104771,152.83804
393,Alaska,1996Q1,152.5948029,1.123277903,0.253302544,152.14075
394,Alaska,1996Q2,154.1700816,1.219206,0.7537332,143.95981
395,Alaska,1996Q3,155.3026357,1.391879,0.4355108,142.97392
396,Alaska,1996Q4,157.5228416,1.473184347,0.376774549,145.05803
397,Alaska,1997Q1,157.6134323,1.522014,0.165056571,141.40349
398,Alaska,1997Q2,157.7188739,1.411680818,0.263013721,139.71957
399,Alaska,1997Q3,159.2091432,1.393458,0.4394391,143.74695
400,Alaska,1997Q4,161.7822651,1.52588737,0.6013957,144.87781
401,Alaska,1998Q1,161.7139816,1.779837847,1.183249116,154.53595
402,Alaska,1998Q2,163.3424297,2.075202227,1.659834623,154.44228
403,Alaska,1998Q3,165.0880584,2.008729219,2.055305481,156.16112
404,Alaska,1998Q4,165.6778555,2.048760414,2.189380407,159.22498
405,Alaska,1999Q1,167.7409449,1.893894553,1.297498703,152.43929
406,Alaska,1999Q2,170.0150154,1.786655307,0.922605,150.10344
407,Alaska,1999Q3,170.0120603,1.738858461,0.4707838,145.07018
408,Alaska,1999Q4,171.0699316,1.546637,0.221512362,143.43002
409,Alaska,2000Q1,171.1246179,1.521951437,0.237912953,140.646
410,Alaska,2000Q2,171.7390473,1.693986416,0.184839934,137.62854
411,Alaska,2000Q3,172.8000501,1.82274,0.2407165,137.04932
412,Alaska,2000Q4,174.825355,1.802087426,0.301827729,137.77171
413,Alaska,2001Q1,177.8295981,2.029829502,1.063233852,148.90825
414,Alaska,2001Q2,180.0886631,2.023377,1.279802322,148.47803
415,Alaska,2001Q3,182.5774071,2.136412,1.081907,147.54961
416,Alaska,2001Q4,184.1785365,2.053215,2.44448,151.17488
417,Alaska,2002Q1,187.3970149,2.33885932,1.803769112,147.78821
418,Alaska,2002Q2,191.4222768,2.163862705,1.292987466,145.74481
419,Alaska,2002Q3,192.1923956,2.098034143,2.801100254,150.48587
420,Alaska,2002Q4,193.141767,2.222800732,4.181742,154.28252
421,Alaska,2003Q1,194.9331724,2.133653402,3.390583,156.50485
422,Alaska,2003Q2,196.8555261,2.714958191,5.604577541,160.04466
423,Alaska,2003Q3,200.2639278,3.032976627,5.407003,156.34969
424,Alaska,2003Q4,209.2783033,3.200246334,1.9532758,148.4472
425,Alaska,2004Q1,211.7976751,2.802861,2.419004202,149.86125
426,Alaska,2004Q2,215.935454,2.790620565,2.257612705,146.1627
427,Alaska,2004Q3,225.2804332,2.750217438,1.399466395,138.2737
428,Alaska,2004Q4,229.0637689,2.823782682,1.6561203,138.55396
429,Alaska,2005Q1,235.1164881,3.188963652,1.769400239,134.13503
430,Alaska,2005Q2,243.2312385,3.275644302,1.849354386,130.14253
431,Alaska,2005Q3,252.8065006,3.020196,2.296597,127.71204
432,Alaska,2005Q4,260.3071582,2.897738,1.914024,120.6216
433,Alaska,2006Q1,264.4754915,2.939565,1.599167,120.2476
434,Alaska,2006Q2,270.0620104,3.038802,1.680097,117.1825
435,Alaska,2006Q3,276.3682283,3.132639,2.132905,114.09589
436,Alaska,2006Q4,277.8397175,3.055219,2.200337,115.38564
437,Alaska,2007Q1,281.4910602,2.971418,2.026797,114.47421
438,Alaska,2007Q2,283.6775224,2.848578,2.132615,112.07568
439,Alaska,2007Q3,283.6887035,2.622941,1.984653,110.68382
440,Alaska,2007Q4,282.8266062,2.642739,1.92542,118.50143
441,Alaska,2008Q1,282.0675709,2.459682,2.935635,127.41988
442,Alaska,2008Q2,282.0919109,1.980337,1.921885,130.06926
443,Alaska,2008Q3,280.4673449,2.160295,1.290935,131.74734
444,Alaska,2008Q4,282.1935813,2.330437,1.485003,138.81139
445,Alaska,2009Q1,282.0261605,1.143457,2.742564,156.38466
446,Alaska,2009Q2,279.0633163,2.332108,4.774997,162.38382
447,Alaska,2009Q3,279.7563972,2.786811,3.788692,158.73933
448,Alaska,2009Q4,280.0921446,2.588811,4.365966,159.79849
449,Alaska,2010Q1,276.0364824,2.419381,2.821411,157.4722
450,Alaska,2010Q2,278.2824192,1.880709,2.585435,153.57527
451,Alaska,2010Q3,279.7245302,1.405395,3.099129,155.74876
452,Alaska,2010Q4,279.8883953,1.674931,2.964934,157.44739
453,Alaska,2011Q1,280.4885239,1.63052,1.567564,148.43211
454,Alaska,2011Q2,280.6419792,1.637843,1.726893,147.70453
455,Alaska,2011Q3,280.0936608,1.778377,2.593445,151.76434
456,Alaska,2011Q4,282.0176706,1.736948,3.595191,159.12347
457,Alaska,2012Q1,280.8478674,2.282972,3.216932,165.56306
458,Alaska,2012Q2,281.1237014,1.722024,3.007546,171.53436
459,Alaska,2012Q3,281.9724848,1.652895,3.706981,176.66624
460,Alaska,2012Q4,284.7076908,1.926424,4.371721,182.78549
461,Alaska,2013Q1,288.7119244,2.165983,3.503136,181.02798
462,Alaska,2013Q2,290.6295692,2.365061,3.09571,179.80058
463,Alaska,2013Q3,292.0283917,2.283776,1.969325,165.89471
464,Alaska,2013Q4,293.1555701,1.928796,1.074989,162.33501
465,Alaska,2014Q1,291.2467215,1.972986,0.9061241,160.46117
466,Alaska,2014Q2,298.4614266,2.185409,0.8021611,158.92943
467,Alaska,2014Q3,299.711907,2.300292,0.8036137,159.76729
468,Alaska,2014Q4,300.1523292,2.53035,1.099712,164.02672
469,Alaska,2015Q1,303.072595,2.514415,1.565054,171.41464
470,Alaska,2015Q2,307.2787333,2.463647,1.475007,173.4286
471,Alaska,2015Q3,309.6369078,2.524023,1.05894,167.59839
472,Alaska,2015Q4,311.9961282,2.338436,1.403017,168.06256
473,Alaska,2016Q1,314.0002188,2.34239,1.088779,152.29778
474,Alaska,2016Q2,315.0959097,2.726086,1.54257,153.08818
475,Alaska,2016Q3,315.3757755,2.502042,2.191861,155.09012
476,Alaska,2016Q4,313.9040971,2.673693,1.937026,153.18456
477,Alaska,2017Q1,318.3887836,2.628599,1.047768,143.69405
478,Alaska,2017Q2,319.3576831,2.6642,0.8786605,147.51019
479,Alaska,2017Q3,322.0990526,2.545309,0.4794356,146.75351
480,Alaska,2017Q4,324.0000641,2.526691,0.3949998,146.20078
481,Alaska,2018Q1,327.7341189,2.583118,0.9517477,142.4075
482,Alaska,2018Q2,329.4446826,2.672764,0.9529088,141.106
483,Alaska,2018Q3,,2.73616,0.9440085,140.21735
484,Alaska,2018Q4,,2.760543,0.8938584,138.40332
485,Alaska,2019Q1,,2.766491,0.7707436,137.61856
486,Alaska,2019Q2,,2.75226,0.6934658,137.08669
487,Alaska,2019Q3,,2.703579,0.689754,136.97054
488,Alaska,2019Q4,,2.641306,0.6937136,137.05504
489,Alaska,2020Q1,,2.45275,0.677216,137.64674
490,Alaska,2020Q2,,2.403139,0.7205879,137.55106
491,Alaska,2020Q3,,2.426304,0.7723152,137.14925
2195,Arizona,1990Q1,133.6124535,7.426250458,1.201843,122.01913
2196,Arizona,1990Q2,133.2944049,6.461639404,1.185374618,120.76133
2197,Arizona,1990Q3,134.1721319,6.066758,1.241071224,120.27127
2198,Arizona,1990Q4,132.675978,6.799622,1.144447923,122.37255
2199,Arizona,1991Q1,134.8269125,6.742919445,2.052961826,125.5612
2200,Arizona,1991Q2,136.2666906,7.371615,3.181152,127.25039
2201,Arizona,1991Q3,135.5444359,8.428381,3.029301643,5
2202,Arizona,1991Q4,139.2125638,7.615657,5.453201,134.95291
2203,Arizona,1992Q1,140.0598443,7.63953352,8.081651,141.25443
2204,Arizona,1992Q2,140.0105622,9.357099,5.793069363,139.95772
2205,Arizona,1992Q3,140.8905054,7.858268,9.63445,148.46623
2206,Arizona,1992Q4,141.3386213,11.50508,8.401563,149.67116
2207,Arizona,1993Q1,141.5091545,11.82493401,6.587448,153.78781
2208,Arizona,1993Q2,143.3687801,11.28642464,16.52493858,156.12231
2209,Arizona,1993Q3,144.5681363,13.84340191,20.21037865,157.65985
2210,Arizona,1993Q4,146.1540425,14.29925823,15.61793423,160.70799
2211,Arizona,1994Q1,148.2309917,13.31508636,6.536115,163.63751
2212,Arizona,1994Q2,150.4269128,13.57124519,3.550570488,156.22165
2213,Arizona,1994Q3,152.2381257,11.88345,1.587140441,152.14487
2214,Arizona,1994Q4,153.7391215,12.55534744,0.7724265,150.39229
2215,Arizona,1995Q1,155.6422772,12.14380074,0.2745837,150.75859
2216,Arizona,1995Q2,158.9167505,10.53086185,2.375882,152.54829
2217,Arizona,1995Q3,161.538102,12.2917757,6.805482,152.81023
2218,Arizona,1995Q4,163.267388,13.5252552,6.833604,154.68857
2219,Arizona,1996Q1,166.0237013,13.54515553,3.086028814,148.95879
2220,Arizona,1996Q2,166.7534625,14.93486118,7.795102,143.42886
2221,Arizona,1996Q3,167.8784186,14.83229446,3.953536272,141.98058
2222,Arizona,1996Q4,169.4600831,15.27265835,3.937743425,146.06088
2223,Arizona,1997Q1,171.0302711,14.50195217,1.914913297,143.35651
2224,Arizona,1997Q2,172.7031237,13.04545,4.033844,141.27466
2225,Arizona,1997Q3,175.3009172,14.22570705,6.121614456,144.33202
2226,Arizona,1997Q4,177.8324673,16.26641,7.069669,144.47076
2227,Arizona,1998Q1,180.1451578,18.35152,12.86091709,147.76868
2228,Arizona,1998Q2,182.4101231,20.13327217,16.36774635,147.77541
2229,Arizona,1998Q3,184.3893006,20.2764,20.59222794,149.81635
2230,Arizona,1998Q4,186.6668391,20.63542747,21.42328835,153.70924
2231,Arizona,1999Q1,188.6708201,21.07924652,14.2370348,151.87857
2232,Arizona,1999Q2,191.6071711,23.4639,12.9957943,150.03554
2233,Arizona,1999Q3,193.9360357,23.33888245,7.462542,144.31886
2234,Arizona,1999Q4,195.8129092,22.11089325,3.802789,143.53905
2235,Arizona,2000Q1,200.0959365,22.66225243,4.164909363,134.73012
2236,Arizona,2000Q2,202.7818131,21.8187561,3.010452271,131.11803
2237,Arizona,2000Q3,205.1675127,22.99339676,4.535336494,130.45186
2238,Arizona,2000Q4,208.6260376,24.03412628,5.987683,131.81976
2239,Arizona,2001Q1,213.0016424,25.46266365,20.41987,141.43356
2240,Arizona,2001Q2,216.6691474,26.68848,25.9470253,138.3936
2241,Arizona,2001Q3,219.4528632,27.56703,20.49487,138.12234
2242,Arizona,2001Q4,221.6384871,25.47691536,40.92085,142.23009
2243,Arizona,2002Q1,224.7860777,26.93661,25.92499733,136.35237
2244,Arizona,2002Q2,228.2920912,26.5269146,18.6028,136.89291
2245,Arizona,2002Q3,231.4108281,25.31215,37.44394302,141.8358
2246,Arizona,2002Q4,233.671373,28.47001,57.29545593,141.15285
2247,Arizona,2003Q1,237.4096652,29.88434,48.96058655,144.07828
2248,Arizona,2003Q2,240.6490943,32.36298752,67.84252,147.55919
2249,Arizona,2003Q3,242.8233353,37.06249237,66.10082,144.10945
2250,Arizona,2003Q4,250.1616972,37.93108368,22.62371,140.78104
2251,Arizona,2004Q1,256.5433418,34.90404,29.35162,140.73358
2252,Arizona,2004Q2,266.6147666,37.07002,29.02943611,135.74664
2253,Arizona,2004Q3,279.8488032,38.99492,21.83292,129.83437
2254,Arizona,2004Q4,290.0085039,44.42340469,33.40650558,123.89706
2255,Arizona,2005Q1,309.3582871,51.78701,39.90117645,117.13452
2256,Arizona,2005Q2,341.8597415,58.37418,47.57399368,100.17765
2257,Arizona,2005Q3,372.5543453,59.80975,66.70332,93.644119
2258,Arizona,2005Q4,395.2864158,58.08009,56.21959,89.17012
2259,Arizona,2006Q1,410.0486918,56.10315,45.67443,87.956421
2260,Arizona,2006Q2,419.4435252,55.92881,47.44865,88.261772
2261,Arizona,2006Q3,426.4828609,48.75497,51.07598,90.391647
2262,Arizona,2006Q4,426.3102206,41.1526,44.98327,93.236717
2263,Arizona,2007Q1,422.8818625,39.90724,40.57835,94.873497
2264,Arizona,2007Q2,420.7045864,36.85855,40.29119,96.454071
2265,Arizona,2007Q3,415.4036221,32.35663,35.44035,98.047676
2266,Arizona,2007Q4,404.7662325,28.16171,28.692,106.09265
2267,Arizona,2008Q1,387.5365209,21.85872,34.15861,118.31464
2268,Arizona,2008Q2,367.815376,16.71851,19.64942,128.65157
2269,Arizona,2008Q3,345.5015707,17.40864,10.39691,137.7291
2270,Arizona,2008Q4,329.4935313,22.18772,12.11201,159.70296
2271,Arizona,2009Q1,323.9641971,12.58135,23.98505,194.5811
2272,Arizona,2009Q2,304.1297791,17.59014,26.95513,197.74527
2273,Arizona,2009Q3,292.0338837,19.86729,20.5817,180.46982
2274,Arizona,2009Q4,280.5186694,17.41836,23.73843,181.60049
2275,Arizona,2010Q1,273.2942948,18.8819,18.77698,180.18588
2276,Arizona,2010Q2,264.6611676,13.42747,16.9834,181.2032
2277,Arizona,2010Q3,262.6855944,9.175396,18.28005,194.87271
2278,Arizona,2010Q4,253.290225,11.42554,16.38455,204.43671
2279,Arizona,2011Q1,242.4258791,10.75767,7.447435,200.20236
2280,Arizona,2011Q2,230.5685563,12.25116,8.08819,221.84224
2281,Arizona,2011Q3,231.5353308,14.46039,14.71787,232.58501
2282,Arizona,2011Q4,235.6818513,12.5137,24.21081,233.38805
2283,Arizona,2012Q1,236.2869438,16.45381,25.5019,223.40338
2284,Arizona,2012Q2,239.1238085,12.86007,27.18162,211.24484
2285,Arizona,2012Q3,247.9138357,12.15769,34.28093,209.77377
2286,Arizona,2012Q4,254.8818345,15.22455,44.05267,205.78653
2287,Arizona,2013Q1,263.3771492,16.16719,34.38879,194.51108
2288,Arizona,2013Q2,274.9327816,18.89952,33.72065,182.73215
2289,Arizona,2013Q3,283.6653576,18.64455,22.73274,162.31778
2290,Arizona,2013Q4,290.6220534,17.15498,13.76031,160.71371
2291,Arizona,2014Q1,298.9057076,18.26698,12.34595,160.07767
2292,Arizona,2014Q2,303.0991683,17.64643,10.29896,165.36577
2293,Arizona,2014Q3,305.2760541,17.94255,10.43459,165.89403
2294,Arizona,2014Q4,309.3336364,19.29201,13.375,164.84756
2295,Arizona,2015Q1,313.5729085,19.11148,18.6068,165.25278
2296,Arizona,2015Q2,320.5679373,21.29519,19.15691,162.13004
2297,Arizona,2015Q3,327.2157337,24.3395,14.93145,157.74284
2298,Arizona,2015Q4,331.2326376,24.22175,20.36377,157.76683
2299,Arizona,2016Q1,337.3467255,25.29014,15.95647,158.13066
2300,Arizona,2016Q2,343.9699263,29.3627,22.32022,159.125
2301,Arizona,2016Q3,348.6239806,27.72636,31.8038,161.29831
2302,Arizona,2016Q4,353.4738739,30.72351,28.63624,159.54077
2303,Arizona,2017Q1,363.8481343,30.04716,14.81474,148.64664
2304,Arizona,2017Q2,374.4841101,30.51833,12.7973,151.45201
2305,Arizona,2017Q3,382.0842564,29.30654,13.92324,149.30881
2306,Arizona,2017Q4,387.5546175,29.30172,13.55595,147.17603
2307,Arizona,2018Q1,393.0713205,30.03381,12.29449,140.91335
2308,Arizona,2018Q2,396.3097809,30.9733,11.39328,138.32376
2309,Arizona,2018Q3,,31.68802,10.28375,136.36368
2310,Arizona,2018Q4,,31.95556,9.779255,133.29823
2311,Arizona,2019Q1,,31.99428,8.475368,131.78098
2312,Arizona,2019Q2,,31.80748,7.627612,130.90924
2313,Arizona,2019Q3,,31.25985,7.587203,130.99075
2314,Arizona,2019Q4,,30.53682,7.690484,131.74951
2315,Arizona,2020Q1,,28.45399,7.566314,133.36728
2316,Arizona,2020Q2,,27.90588,8.061259,133.90689
2317,Arizona,2020Q3,,28.11834,8.633167,134.24504
2318,Arkansas,1990Q1,127.5456189,2.824596643,0.4571246,143.0455
2319,Arkansas,1990Q2,128.1704209,2.581585169,0.473586559,144.57016
2320,Arkansas,1990Q3,128.5149654,2.27292,0.464969158,143.43533
2321,Arkansas,1990Q4,128.2768677,2.182581425,0.3673514,148.41954
2322,Arkansas,1991Q1,129.2910025,2.0903337,0.6364269,161.0153
2323,Arkansas,1991Q2,130.4709361,2.036189556,0.8786986,161.51308
2324,Arkansas,1991Q3,131.1467342,2.453870296,0.8819622,5
2325,Arkansas,1991Q4,133.6597215,2.696306229,1.930693388,171.87419
2326,Arkansas,1992Q1,134.3995372,2.791931391,2.953507,159.31483
2327,Arkansas,1992Q2,134.0176535,3.590333223,2.222809792,158.46059
2328,Arkansas,1992Q3,136.109043,2.748678207,3.369954348,165.69044
2329,Arkansas,1992Q4,137.2231799,3.360384226,2.453914404,167.30963
2330,Arkansas,1993Q1,138.1151011,3.138331413,1.748305321,171.67133
2331,Arkansas,1993Q2,140.6794669,2.682813644,3.928022385,173.8849
2332,Arkansas,1993Q3,142.7187985,3.349022,4.889333,177.6631
2333,Arkansas,1993Q4,144.7905243,3.440300226,3.757564306,183.03116
2334,Arkansas,1994Q1,147.4539512,2.602514267,1.256882906,192.40572
2335,Arkansas,1994Q2,149.0943891,2.676047564,0.7130894,181.44739
2336,Arkansas,1994Q3,150.1487948,2.141586,0.30416894,179.90642
2337,Arkansas,1994Q4,152.0943664,2.26772356,0.156411529,173.84918
2338,Arkansas,1995Q1,152.2871711,2.38388443,0.06377073,168.74254
2339,Arkansas,1995Q2,156.4292135,2.064036,0.5952873,170.94679
2340,Arkansas,1995Q3,159.0555615,2.56188035,1.799349,172.17334
2341,Arkansas,1995Q4,159.1115761,2.762004,1.683384,176.14742
2342,Arkansas,1996Q1,161.7550442,2.551377,0.7035519,175.74593
2343,Arkansas,1996Q2,161.8493282,2.789826,1.770986438,167.48166
2344,Arkansas,1996Q3,162.3081107,2.618982553,0.8763396,167.23801
2345,Arkansas,1996Q4,163.6034724,2.606317,0.8734435,171.1149
2346,Arkansas,1997Q1,164.9345984,2.66184783,0.4735856,169.84935
2347,Arkansas,1997Q2,166.6814901,2.585337,1.105612874,167.51207
2348,Arkansas,1997Q3,167.8417647,2.736030817,1.348939657,173.01703
2349,Arkansas,1997Q4,169.3815043,3.053099394,1.311411381,175.17593
